year,city,country,avg_temp,
1743,Chicago,United States,5.44,
1744,Chicago,United States,11.73,
1745,Chicago,United States,1.8,
1746,Chicago,United States,,
1747,Chicago,United States,,
1748,Chicago,United States,,
1749,Chicago,United States,,
1750,Chicago,United States,10.49,
1751,Chicago,United States,11.19,
1752,Chicago,United States,4.5,
1753,Chicago,United States,10.04,
1754,Chicago,United States,10.64,
1755,Chicago,United States,7.41,
1756,Chicago,United States,11.15,9.345714286
1757,Chicago,United States,9.5,9.204285714
1758,Chicago,United States,8.61,8.835714286
1759,Chicago,United States,9.59,9.562857143
1760,Chicago,United States,8.05,9.278571429
1761,Chicago,United States,10.4,9.244285714
1762,Chicago,United States,9.82,9.588571429
1763,Chicago,United States,7.72,9.098571429
1764,Chicago,United States,10.63,9.26
1765,Chicago,United States,9.78,9.427142857
1766,Chicago,United States,10.49,9.555714286
1767,Chicago,United States,9.41,9.75
1768,Chicago,United States,8.95,9.542857143
1769,Chicago,United States,9.79,9.538571429
1770,Chicago,United States,9.66,9.815714286
1771,Chicago,United States,10.44,9.788571429
1772,Chicago,United States,10.27,9.858571429
1773,Chicago,United States,10.42,9.848571429
1774,Chicago,United States,10.27,9.971428571
1775,Chicago,United States,10.99,10.26285714
1776,Chicago,United States,9.98,10.29
1777,Chicago,United States,9.67,10.29142857
1778,Chicago,United States,7.63,9.89
1779,Chicago,United States,10.32,9.897142857
1780,Chicago,United States,12.54,10.2
1781,Chicago,United States,10.18,10.18714286
1782,Chicago,United States,9.69,10.00142857
1783,Chicago,United States,9.44,9.924285714
1784,Chicago,United States,9.4,9.885714286
1785,Chicago,United States,9.2,10.11
1786,Chicago,United States,9.75,10.02857143
1787,Chicago,United States,9.78,9.634285714
1788,Chicago,United States,10.28,9.648571429
1789,Chicago,United States,10.03,9.697142857
1790,Chicago,United States,9.93,9.767142857
1791,Chicago,United States,10.12,9.87
1792,Chicago,United States,9.62,9.93
1793,Chicago,United States,10.2,9.994285714
1794,Chicago,United States,10.3,10.06857143
1795,Chicago,United States,10.01,10.03
1796,Chicago,United States,9.92,10.01428571
1797,Chicago,United States,9.66,9.975714286
1798,Chicago,United States,10.43,10.02
1799,Chicago,United States,10.11,10.09
1800,Chicago,United States,10.11,10.07714286
1801,Chicago,United States,10.47,10.10142857
1802,Chicago,United States,10.66,10.19428571
1803,Chicago,United States,10.48,10.27428571
1804,Chicago,United States,10.41,10.38142857
1805,Chicago,United States,10.63,10.41
1806,Chicago,United States,10.1,10.40857143
1807,Chicago,United States,9.88,10.37571429
1808,Chicago,United States,9.84,10.28571429
1809,Chicago,United States,9.04,10.05428571
1810,Chicago,United States,9.22,9.874285714
1811,Chicago,United States,9.37,9.725714286
1812,Chicago,United States,8.34,9.398571429
1813,Chicago,United States,9.67,9.337142857
1814,Chicago,United States,9.55,9.29
1815,Chicago,United States,8.86,9.15
1816,Chicago,United States,8.27,9.04
1817,Chicago,United States,8.54,8.942857143
1818,Chicago,United States,9.42,8.95
1819,Chicago,United States,9.19,9.071428571
1820,Chicago,United States,9.02,8.978571429
1821,Chicago,United States,9.08,8.911428571
1822,Chicago,United States,9.87,9.055714286
1823,Chicago,United States,9.31,9.204285714
1824,Chicago,United States,9.57,9.351428571
1825,Chicago,United States,10.87,9.558571429
1826,Chicago,United States,10.19,9.701428571
1827,Chicago,United States,10.58,9.924285714
1828,Chicago,United States,11,10.19857143
1829,Chicago,United States,9.94,10.20857143
1830,Chicago,United States,11.11,10.46571429
1831,Chicago,United States,9.02,10.38714286
1832,Chicago,United States,10.33,10.31
1833,Chicago,United States,10.7,10.38285714
1834,Chicago,United States,10.92,10.43142857
1835,Chicago,United States,9.44,10.20857143
1836,Chicago,United States,8.68,10.02857143
1837,Chicago,United States,9.42,9.787142857
1838,Chicago,United States,8.81,9.757142857
1839,Chicago,United States,10.57,9.791428571
1840,Chicago,United States,10.24,9.725714286
1841,Chicago,United States,9.83,9.57
1842,Chicago,United States,10.32,9.695714286
1843,Chicago,United States,8.78,9.71
1844,Chicago,United States,10.28,9.832857143
1845,Chicago,United States,10.6,10.08857143
1846,Chicago,United States,11.29,10.19142857
1847,Chicago,United States,9.23,10.04714286
1848,Chicago,United States,9.77,10.03857143
1849,Chicago,United States,9.34,9.898571429
1850,Chicago,United States,9.89,10.05714286
1851,Chicago,United States,10.17,10.04142857
1852,Chicago,United States,9.82,9.93
1853,Chicago,United States,10.21,9.775714286
1854,Chicago,United States,10.96,10.02285714
1855,Chicago,United States,9.71,10.01428571
1856,Chicago,United States,8.66,9.917142857
1857,Chicago,United States,8.76,9.755714286
1858,Chicago,United States,10.53,9.807142857
1859,Chicago,United States,9.76,9.798571429
1860,Chicago,United States,9.75,9.732857143
1861,Chicago,United States,9.62,9.541428571
1862,Chicago,United States,9.36,9.491428571
1863,Chicago,United States,9.73,9.644285714
1864,Chicago,United States,9.35,9.728571429
1865,Chicago,United States,9.92,9.641428571
1866,Chicago,United States,9.05,9.54
1867,Chicago,United States,9.43,9.494285714
1868,Chicago,United States,8.88,9.388571429
1869,Chicago,United States,8.73,9.298571429
1870,Chicago,United States,10.55,9.415714286
1871,Chicago,United States,9.91,9.495714286
1872,Chicago,United States,8.72,9.324285714
1873,Chicago,United States,8.84,9.294285714
1874,Chicago,United States,10.18,9.401428571
1875,Chicago,United States,7.8,9.247142857
1876,Chicago,United States,9.69,9.384285714
1877,Chicago,United States,10.68,9.402857143
1878,Chicago,United States,11.31,9.602857143
1879,Chicago,United States,10.11,9.801428571
1880,Chicago,United States,10.46,10.03285714
1881,Chicago,United States,10.25,10.04285714
1882,Chicago,United States,10.38,10.41142857
1883,Chicago,United States,8.42,10.23
1884,Chicago,United States,9.35,10.04
1885,Chicago,United States,7.96,9.561428571
1886,Chicago,United States,9.4,9.46
1887,Chicago,United States,9.64,9.342857143
1888,Chicago,United States,8.74,9.127142857
1889,Chicago,United States,10.02,9.075714286
1890,Chicago,United States,10.21,9.331428571
1891,Chicago,United States,10.29,9.465714286
1892,Chicago,United States,9.21,9.644285714
1893,Chicago,United States,8.91,9.574285714
1894,Chicago,United States,10.79,9.738571429
1895,Chicago,United States,9.32,9.821428571
1896,Chicago,United States,10.39,9.874285714
1897,Chicago,United States,10.05,9.851428571
1898,Chicago,United States,10.24,9.844285714
1899,Chicago,United States,10.12,9.974285714
1900,Chicago,United States,10.63,10.22
1901,Chicago,United States,9.87,10.08857143
1902,Chicago,United States,10.04,10.19142857
1903,Chicago,United States,9.57,10.07428571
1904,Chicago,United States,8.56,9.861428571
1905,Chicago,United States,9.42,9.744285714
1906,Chicago,United States,10.56,9.807142857
1907,Chicago,United States,9.32,9.62
1908,Chicago,United States,10.68,9.735714286
1909,Chicago,United States,9.89,9.714285714
1910,Chicago,United States,10.2,9.804285714
1911,Chicago,United States,10.87,10.13428571
1912,Chicago,United States,8.95,10.06714286
1913,Chicago,United States,10.83,10.10571429
1914,Chicago,United States,10.2,10.23142857
1915,Chicago,United States,9.98,10.13142857
1916,Chicago,United States,9.84,10.12428571
1917,Chicago,United States,8.06,9.818571429
1918,Chicago,United States,10.06,9.702857143
1919,Chicago,United States,10.64,9.944285714
1920,Chicago,United States,9.83,9.801428571
1921,Chicago,United States,12.28,10.09857143
1922,Chicago,United States,10.92,10.23285714
1923,Chicago,United States,10.12,10.27285714
1924,Chicago,United States,8.77,10.37428571
1925,Chicago,United States,9.93,10.35571429
1926,Chicago,United States,9.12,10.13857143
1927,Chicago,United States,10.54,10.24
1928,Chicago,United States,10.21,9.944285714
1929,Chicago,United States,9.28,9.71
1930,Chicago,United States,10.79,9.805714286
1931,Chicago,United States,12.39,10.32285714
1932,Chicago,United States,10.61,10.42
1933,Chicago,United States,11.09,10.70142857
1934,Chicago,United States,10.87,10.74857143
1935,Chicago,United States,10.01,10.72
1936,Chicago,United States,9.86,10.80285714
1937,Chicago,United States,9.99,10.68857143
1938,Chicago,United States,11.4,10.54714286
1939,Chicago,United States,11.35,10.65285714
1940,Chicago,United States,9.67,10.45
1941,Chicago,United States,11.41,10.52714286
1942,Chicago,United States,10.41,10.58428571
1943,Chicago,United States,9.72,10.56428571
1944,Chicago,United States,10.82,10.68285714
1945,Chicago,United States,9.96,10.47714286
1946,Chicago,United States,11.4,10.48428571
1947,Chicago,United States,10.22,10.56285714
1948,Chicago,United States,10.41,10.42
1949,Chicago,United States,11.18,10.53
1950,Chicago,United States,9.43,10.48857143
1951,Chicago,United States,9.42,10.28857143
1952,Chicago,United States,10.91,10.42428571
1953,Chicago,United States,11.67,10.46285714
1954,Chicago,United States,11.11,10.59
1955,Chicago,United States,11.01,10.67571429
1956,Chicago,United States,10.72,10.61
1957,Chicago,United States,10.42,10.75142857
1958,Chicago,United States,9.9,10.82
1959,Chicago,United States,10.43,10.75142857
1960,Chicago,United States,10.11,10.52857143
1961,Chicago,United States,10.58,10.45285714
1962,Chicago,United States,9.99,10.30714286
1963,Chicago,United States,9.89,10.18857143
1964,Chicago,United States,11.06,10.28
1965,Chicago,United States,10.34,10.34285714
1966,Chicago,United States,10.05,10.28857143
1967,Chicago,United States,9.84,10.25
1968,Chicago,United States,10.66,10.26142857
1969,Chicago,United States,10.03,10.26714286
1970,Chicago,United States,10.34,10.33142857
1971,Chicago,United States,10.58,10.26285714
1972,Chicago,United States,9.39,10.12714286
1973,Chicago,United States,11.55,10.34142857
1974,Chicago,United States,10.35,10.41428571
1975,Chicago,United States,10.82,10.43714286
1976,Chicago,United States,9.79,10.40285714
1977,Chicago,United States,10.46,10.42
1978,Chicago,United States,9.46,10.26
1979,Chicago,United States,9.37,10.25714286
1980,Chicago,United States,10.05,10.04285714
1981,Chicago,United States,10.54,10.07
1982,Chicago,United States,9.99,9.951428571
1983,Chicago,United States,10.94,10.11571429
1984,Chicago,United States,10.66,10.14428571
1985,Chicago,United States,10.11,10.23714286
1986,Chicago,United States,10.82,10.44428571
1987,Chicago,United States,12.04,10.72857143
1988,Chicago,United States,10.86,10.77428571
1989,Chicago,United States,9.8,10.74714286
1990,Chicago,United States,11.5,10.82714286
1991,Chicago,United States,11.58,10.95857143
1992,Chicago,United States,10.24,10.97714286
1993,Chicago,United States,10.18,10.88571429
1994,Chicago,United States,10.56,10.67428571
1995,Chicago,United States,10.57,10.63285714
1996,Chicago,United States,9.56,10.59857143
1997,Chicago,United States,10.14,10.40428571
1998,Chicago,United States,12.81,10.58
1999,Chicago,United States,11.72,10.79142857
2000,Chicago,United States,11.09,10.92142857
2001,Chicago,United States,11.7,11.08428571
2002,Chicago,United States,11.53,11.22142857
2003,Chicago,United States,10.48,11.35285714
2004,Chicago,United States,10.94,11.46714286
2005,Chicago,United States,11.58,11.29142857
2006,Chicago,United States,11.87,11.31285714
2007,Chicago,United States,11.45,11.36428571
2008,Chicago,United States,10.24,11.15571429
2009,Chicago,United States,10.3,10.98
2010,Chicago,United States,11.82,11.17142857
2011,Chicago,United States,11.21,11.21
2012,Chicago,United States,12.82,11.38714286
2013,Chicago,United States,11.59,11.34714286